"time","pp","Event1","PhoneNrSoFar","Event2","trial","typingErrorMadeOnTrial","partOfExperiment","timeConverted","timeInMsec","lanePosition","phoneNrLengthBeforeKeyPress","timeRelativeToTrialStart","phoneNrLengthAfterKeyPress"
"2016-11-10 10:20:36:267",1,"Keypress","","Number0",5,0,"singleDialing1",2016-11-10 10:20:36.267,1478769636267,NA,0,239,1
"2016-11-10 10:20:36:529",1,"Keypress","0","Number7",5,0,"singleDialing1",2016-11-10 10:20:36.529,1478769636529,NA,1,501,2
"2016-11-10 10:20:36:746",1,"Keypress","07","Number8",5,0,"singleDialing1",2016-11-10 10:20:36.746,1478769636746,NA,2,718,3
"2016-11-10 10:20:37:017",1,"Keypress","078","Number5",5,0,"singleDialing1",2016-11-10 10:20:37.017,1478769637017,NA,3,989,4
"2016-11-10 10:20:37:269",1,"Keypress","0785","Number4",5,0,"singleDialing1",2016-11-10 10:20:37.269,1478769637269,NA,4,1241,5
"2016-11-10 10:20:37:557",1,"Keypress","07854","Number3",5,0,"singleDialing1",2016-11-10 10:20:37.557,1478769637557,NA,5,1529,6
"2016-11-10 10:20:37:786",1,"Keypress","078543","Number2",5,0,"singleDialing1",2016-11-10 10:20:37.786,1478769637786,NA,6,1758,7
"2016-11-10 10:20:38:028",1,"Keypress","0785432","Number5",5,0,"singleDialing1",2016-11-10 10:20:38.028,1478769638028,NA,7,2000,8
"2016-11-10 10:20:38:272",1,"Keypress","07854325","Number6",5,0,"singleDialing1",2016-11-10 10:20:38.272,1478769638272,NA,8,2244,9
"2016-11-10 10:20:38:589",1,"Keypress","078543256","Number9",5,0,"singleDialing1",2016-11-10 10:20:38.589,1478769638589,NA,9,2561,10
"2016-11-10 10:20:38:827",1,"Keypress","0785432569","Number8",5,0,"singleDialing1",2016-11-10 10:20:38.827,1478769638827,NA,10,2799,11
"2016-11-10 10:20:39:054",1,"Correct","07854325698","190",5,0,"singleDialing1",2016-11-10 10:20:39.054,1478769639054,NA,11,3026,12
"2016-11-10 10:20:39:974",1,"Start","","190",6,0,"singleDialing1",2016-11-10 10:20:39.974,1478769639974,NA,0,0,0
"2016-11-10 10:20:40:254",1,"Keypress","","Number0",6,0,"singleDialing1",2016-11-10 10:20:40.254,1478769640254,NA,0,280,1
"2016-11-10 10:20:40:538",1,"Keypress","0","Number7",6,0,"singleDialing1",2016-11-10 10:20:40.538,1478769640538,NA,1,564,2
"2016-11-10 10:20:40:809",1,"Keypress","07","Number8",6,0,"singleDialing1",2016-11-10 10:20:40.809,1478769640809,NA,2,835,3
"2016-11-10 10:20:41:054",1,"Keypress","078","Number5",6,0,"singleDialing1",2016-11-10 10:20:41.054,1478769641054,NA,3,1080,4
"2016-11-10 10:20:41:289",1,"Keypress","0785","Number4",6,0,"singleDialing1",2016-11-10 10:20:41.289,1478769641289,NA,4,1315,5
"2016-11-10 10:20:41:551",1,"Keypress","07854","Number3",6,0,"singleDialing1",2016-11-10 10:20:41.551,1478769641551,NA,5,1577,6
"2016-11-10 10:20:41:818",1,"Keypress","078543","Number2",6,0,"singleDialing1",2016-11-10 10:20:41.818,1478769641818,NA,6,1844,7
"2016-11-10 10:20:42:141",1,"Keypress","0785432","Number5",6,0,"singleDialing1",2016-11-10 10:20:42.141,1478769642141,NA,7,2167,8
"2016-11-10 10:20:42:368",1,"Keypress","07854325","Number6",6,0,"singleDialing1",2016-11-10 10:20:42.368,1478769642368,NA,8,2394,9
"2016-11-10 10:20:42:643",1,"Keypress","078543256","Number9",6,0,"singleDialing1",2016-11-10 10:20:42.643,1478769642643,NA,9,2669,10
"2016-11-10 10:20:42:929",1,"Keypress","0785432569","Number8",6,0,"singleDialing1",2016-11-10 10:20:42.929,1478769642929,NA,10,2955,11
"2016-11-10 10:20:43:199",1,"Correct","07854325698","190",6,0,"singleDialing1",2016-11-10 10:20:43.199,1478769643199,NA,11,3225,12
"2016-11-10 10:25:45:643",1,"Start","","190",7,0,"dualSteerFocus",2016-11-10 10:25:45.643,1478769945643,-0.101,0,0,0
"2016-11-10 10:25:45:655",1,"Keypress","","Number0",7,0,"dualSteerFocus",2016-11-10 10:25:45.655,1478769945655,-0.101,0,12,1
"2016-11-10 10:25:45:918",1,"Keypress","0","Number7",7,0,"dualSteerFocus",2016-11-10 10:25:45.918,1478769945918,-0.104,1,275,2
"2016-11-10 10:25:46:329",1,"Keypress","07","Number8",7,0,"dualSteerFocus",2016-11-10 10:25:46.329,1478769946329,-0.11,2,686,3
"2016-11-10 10:25:46:675",1,"Keypress","078","Number5",7,0,"dualSteerFocus",2016-11-10 10:25:46.675,1478769946675,-0.115,3,1032,4
"2016-11-10 10:25:47:060",1,"Keypress","0785","Number4",7,0,"dualSteerFocus",2016-11-10 10:25:47.060,1478769947060,-0.119,4,1417,5
"2016-11-10 10:25:47:393",1,"Keypress","07854","Number3",7,0,"dualSteerFocus",2016-11-10 10:25:47.393,1478769947393,-0.124,5,1750,6
"2016-11-10 10:25:47:776",1,"Keypress","078543","Number2",7,0,"dualSteerFocus",2016-11-10 10:25:47.776,1478769947776,-0.13,6,2133,7
"2016-11-10 10:25:48:075",1,"Keypress","0785432","Number5",7,0,"dualSteerFocus",2016-11-10 10:25:48.075,1478769948075,-0.135,7,2432,8
"2016-11-10 10:25:48:480",1,"Keypress","07854325","Number6",7,0,"dualSteerFocus",2016-11-10 10:25:48.480,1478769948480,-0.141,8,2837,9
"2016-11-10 10:25:48:834",1,"Keypress","078543256","Number9",7,0,"dualSteerFocus",2016-11-10 10:25:48.834,1478769948834,-0.146,9,3191,10
"2016-11-10 10:25:49:231",1,"Keypress","0785432569","Number8",7,0,"dualSteerFocus",2016-11-10 10:25:49.231,1478769949231,-0.152,10,3588,11
"2016-11-10 10:25:49:889",1,"Correct","07854325698","190",7,0,"dualSteerFocus",2016-11-10 10:25:49.889,1478769949889,-0.162,11,4246,12
"2016-11-10 10:26:03:198",1,"Start","","190",8,0,"dualSteerFocus",2016-11-10 10:26:03.198,1478769963198,-0.3,0,0,0
"2016-11-10 10:26:03:611",1,"Keypress","","Number0",8,0,"dualSteerFocus",2016-11-10 10:26:03.611,1478769963611,-0.46,0,413,1
"2016-11-10 10:26:04:157",1,"Keypress","0","Number7",8,0,"dualSteerFocus",2016-11-10 10:26:04.157,1478769964157,-0.676,1,959,2
"2016-11-10 10:26:04:531",1,"Keypress","07","Number8",8,0,"dualSteerFocus",2016-11-10 10:26:04.531,1478769964531,-0.776,2,1333,3
"2016-11-10 10:26:05:081",1,"Keypress","078","Number5",8,0,"dualSteerFocus",2016-11-10 10:26:05.081,1478769965081,-0.787,3,1883,4
"2016-11-10 10:26:05:446",1,"Keypress","0785","Number4",8,0,"dualSteerFocus",2016-11-10 10:26:05.446,1478769965446,-0.716,4,2248,5
"2016-11-10 10:26:05:961",1,"Keypress","07854","Number3",8,0,"dualSteerFocus",2016-11-10 10:26:05.961,1478769965961,-0.53,5,2763,6
"2016-11-10 10:26:06:372",1,"Keypress","078543","Number2",8,0,"dualSteerFocus",2016-11-10 10:26:06.372,1478769966372,-0.351,6,3174,7
"2016-11-10 10:26:06:753",1,"Keypress","0785432","Number5",8,0,"dualSteerFocus",2016-11-10 10:26:06.753,1478769966753,-0.211,7,3555,8
"2016-11-10 10:26:07:181",1,"Keypress","07854325","Number6",8,0,"dualSteerFocus",2016-11-10 10:26:07.181,1478769967181,-0.051,8,3983,9
"2016-11-10 10:26:07:678",1,"Keypress","078543256","Number9",8,0,"dualSteerFocus",2016-11-10 10:26:07.678,1478769967678,0.001,9,4480,10
"2016-11-10 10:26:08:087",1,"Keypress","0785432569","Number8",8,0,"dualSteerFocus",2016-11-10 10:26:08.087,1478769968087,-0.011,10,4889,11
"2016-11-10 10:26:08:646",1,"Correct","07854325698","190",8,0,"dualSteerFocus",2016-11-10 10:26:08.646,1478769968646,-0.028,11,5448,12
"2016-11-10 10:26:10:476",1,"Start","","190",9,0,"dualSteerFocus",2016-11-10 10:26:10.476,1478769970476,-0.087,0,0,0
"2016-11-10 10:26:11:012",1,"Keypress","","Number0",9,0,"dualSteerFocus",2016-11-10 10:26:11.012,1478769971012,-0.103,0,536,1
"2016-11-10 10:26:11:396",1,"Keypress","0","Number7",9,0,"dualSteerFocus",2016-11-10 10:26:11.396,1478769971396,-0.117,1,920,2
"2016-11-10 10:26:11:728",1,"Keypress","07","Number8",9,0,"dualSteerFocus",2016-11-10 10:26:11.728,1478769971728,-0.128,2,1252,3
"2016-11-10 10:26:12:085",1,"Keypress","078","Number5",9,0,"dualSteerFocus",2016-11-10 10:26:12.085,1478769972085,-0.14,3,1609,4
"2016-11-10 10:26:12:461",1,"Keypress","0785","Number4",9,0,"dualSteerFocus",2016-11-10 10:26:12.461,1478769972461,-0.152,4,1985,5
"2016-11-10 10:26:12:920",1,"Keypress","07854","Number3",9,0,"dualSteerFocus",2016-11-10 10:26:12.920,1478769972920,-0.169,5,2444,6
"2016-11-10 10:26:13:321",1,"Keypress","078543","Number2",9,0,"dualSteerFocus",2016-11-10 10:26:13.321,1478769973321,-0.183,6,2845,7
"2016-11-10 10:26:14:183",1,"Keypress","0785432","Number5",9,0,"dualSteerFocus",2016-11-10 10:26:14.183,1478769974183,-0.213,7,3707,8
"2016-11-10 10:26:14:432",1,"Keypress","07854325","Number6",9,0,"dualSteerFocus",2016-11-10 10:26:14.432,1478769974432,-0.222,8,3956,9
"2016-11-10 10:26:14:771",1,"Keypress","078543256","Number9",9,0,"dualSteerFocus",2016-11-10 10:26:14.771,1478769974771,-0.232,9,4295,10
"2016-11-10 10:26:15:068",1,"Keypress","0785432569","Number8",9,0,"dualSteerFocus",2016-11-10 10:26:15.068,1478769975068,-0.215,10,4592,11
"2016-11-10 10:26:15:608",1,"Correct","07854325698","190",9,0,"dualSteerFocus",2016-11-10 10:26:15.608,1478769975608,-0.07,11,5132,12
"2016-11-10 10:26:19:422",1,"Start","","190",10,1,"dualSteerFocus",2016-11-10 10:26:19.422,1478769979422,0.033,0,0,0
"2016-11-10 10:26:19:972",1,"Keypress","","Number0",10,1,"dualSteerFocus",2016-11-10 10:26:19.972,1478769979972,0.078,0,550,1
"2016-11-10 10:26:20:419",1,"Keypress","0","Number7",10,1,"dualSteerFocus",2016-11-10 10:26:20.419,1478769980419,0.142,1,997,2
"2016-11-10 10:26:20:840",1,"Keypress","07","Number8",10,1,"dualSteerFocus",2016-11-10 10:26:20.840,1478769980840,0.233,2,1418,3
"2016-11-10 10:26:22:398",1,"Keypress","07","Back",10,1,"dualSteerFocus",2016-11-10 10:26:22.398,1478769982398,0.644,2,2976,1
"2016-11-10 10:26:22:640",1,"Keypress","0","Back",10,1,"dualSteerFocus",2016-11-10 10:26:22.640,1478769982640,0.723,1,3218,0
"2016-11-10 10:26:22:858",1,"Keypress","","Back",10,1,"dualSteerFocus",2016-11-10 10:26:22.858,1478769982858,0.79,0,3436,-1
"2016-11-10 10:26:30:086",1,"Start","","190",11,0,"dualSteerFocus",2016-11-10 10:26:30.086,1478769990086,0.178,0,0,0
"2016-11-10 10:26:30:492",1,"Keypress","","Number0",11,0,"dualSteerFocus",2016-11-10 10:26:30.492,1478769990492,0.256,0,406,1
"2016-11-10 10:26:30:818",1,"Keypress","0","Number7",11,0,"dualSteerFocus",2016-11-10 10:26:30.818,1478769990818,0.314,1,732,2
"2016-11-10 10:26:31:153",1,"Keypress","07","Number8",11,0,"dualSteerFocus",2016-11-10 10:26:31.153,1478769991153,0.382,2,1067,3
"2016-11-10 10:26:31:522",1,"Keypress","078","Number5",11,0,"dualSteerFocus",2016-11-10 10:26:31.522,1478769991522,0.459,3,1436,4
"2016-11-10 10:26:31:890",1,"Keypress","0785","Number4",11,0,"dualSteerFocus",2016-11-10 10:26:31.890,1478769991890,0.527,4,1804,5
"2016-11-10 10:26:32:238",1,"Keypress","07854","Number3",11,0,"dualSteerFocus",2016-11-10 10:26:32.238,1478769992238,0.595,5,2152,6
"2016-11-10 10:26:32:722",1,"Keypress","078543","Number2",11,0,"dualSteerFocus",2016-11-10 10:26:32.722,1478769992722,0.691,6,2636,7
"2016-11-10 10:26:33:200",1,"Keypress","0785432","Number5",11,0,"dualSteerFocus",2016-11-10 10:26:33.200,1478769993200,0.778,7,3114,8
"2016-11-10 10:26:33:601",1,"Keypress","07854325","Number6",11,0,"dualSteerFocus",2016-11-10 10:26:33.601,1478769993601,0.854,8,3515,9
"2016-11-10 10:26:34:045",1,"Keypress","078543256","Number9",11,0,"dualSteerFocus",2016-11-10 10:26:34.045,1478769994045,0.91,9,3959,10
"2016-11-10 10:26:34:476",1,"Keypress","0785432569","Number8",11,0,"dualSteerFocus",2016-11-10 10:26:34.476,1478769994476,0.853,10,4390,11
"2016-11-10 10:26:35:541",1,"Correct","07854325698","190",11,0,"dualSteerFocus",2016-11-10 10:26:35.541,1478769995541,0.4,11,5455,12
"2016-11-10 10:26:54:638",1,"Start","","190",12,0,"dualSteerFocus",2016-11-10 10:26:54.638,1478770014638,-0.308,0,0,0
"2016-11-10 10:26:55:604",1,"Keypress","","Number0",12,0,"dualSteerFocus",2016-11-10 10:26:55.604,1478770015604,-0.375,0,966,1
"2016-11-10 10:26:56:605",1,"Keypress","0","Number7",12,0,"dualSteerFocus",2016-11-10 10:26:56.605,1478770016605,-0.08,1,1967,2
"2016-11-10 10:26:56:807",1,"Keypress","07","Number8",12,0,"dualSteerFocus",2016-11-10 10:26:56.807,1478770016807,-0.015,2,2169,3
"2016-11-10 10:26:57:534",1,"Keypress","078","Number5",12,0,"dualSteerFocus",2016-11-10 10:26:57.534,1478770017534,0.226,3,2896,4
"2016-11-10 10:26:58:390",1,"Keypress","0785","Number4",12,0,"dualSteerFocus",2016-11-10 10:26:58.390,1478770018390,0.499,4,3752,5
"2016-11-10 10:26:59:149",1,"Keypress","07854","Number3",12,0,"dualSteerFocus",2016-11-10 10:26:59.149,1478770019149,0.74,5,4511,6
"2016-11-10 10:27:00:215",1,"Keypress","078543","Number2",12,0,"dualSteerFocus",2016-11-10 10:27:00.215,1478770020215,0.957,6,5577,7
"2016-11-10 10:27:00:927",1,"Keypress","0785432","Number5",12,0,"dualSteerFocus",2016-11-10 10:27:00.927,1478770020927,0.766,7,6289,8
"2016-11-10 10:27:01:597",1,"Keypress","07854325","Number6",12,0,"dualSteerFocus",2016-11-10 10:27:01.597,1478770021597,0.527,8,6959,9
"2016-11-10 10:27:02:521",1,"Keypress","078543256","Number9",12,0,"dualSteerFocus",2016-11-10 10:27:02.521,1478770022521,0.441,9,7883,10
"2016-11-10 10:27:03:183",1,"Keypress","0785432569","Number8",12,0,"dualSteerFocus",2016-11-10 10:27:03.183,1478770023183,0.586,10,8545,11
"2016-11-10 10:27:04:037",1,"Correct","07854325698","190",12,0,"dualSteerFocus",2016-11-10 10:27:04.037,1478770024037,0.789,11,9399,12
"2016-11-10 10:27:08:261",1,"Start","","190",13,0,"dualSteerFocus",2016-11-10 10:27:08.261,1478770028261,0.178,0,0,0
"2016-11-10 10:27:09:119",1,"Keypress","","Number0",13,0,"dualSteerFocus",2016-11-10 10:27:09.119,1478770029119,0.275,0,858,1
"2016-11-10 10:27:09:633",1,"Keypress","0","Number7",13,0,"dualSteerFocus",2016-11-10 10:27:09.633,1478770029633,0.335,1,1372,2
"2016-11-10 10:27:10:399",1,"Keypress","07","Number8",13,0,"dualSteerFocus",2016-11-10 10:27:10.399,1478770030399,0.431,2,2138,3
"2016-11-10 10:27:11:286",1,"Keypress","078","Number5",13,0,"dualSteerFocus",2016-11-10 10:27:11.286,1478770031286,0.444,3,3025,4
"2016-11-10 10:27:12:152",1,"Keypress","0785","Number4",13,0,"dualSteerFocus",2016-11-10 10:27:12.152,1478770032152,0.129,4,3891,5
"2016-11-10 10:27:12:714",1,"Keypress","07854","Number3",13,0,"dualSteerFocus",2016-11-10 10:27:12.714,1478770032714,-0.025,5,4453,6
"2016-11-10 10:27:13:277",1,"Keypress","078543","Number2",13,0,"dualSteerFocus",2016-11-10 10:27:13.277,1478770033277,-0.097,6,5016,7
"2016-11-10 10:27:13:843",1,"Keypress","0785432","Number5",13,0,"dualSteerFocus",2016-11-10 10:27:13.843,1478770033843,-0.161,7,5582,8
"2016-11-10 10:27:14:524",1,"Keypress","07854325","Number6",13,0,"dualSteerFocus",2016-11-10 10:27:14.524,1478770034524,-0.235,8,6263,9
"2016-11-10 10:27:15:563",1,"Keypress","078543256","Number9",13,0,"dualSteerFocus",2016-11-10 10:27:15.563,1478770035563,-0.041,9,7302,10
"2016-11-10 10:27:16:305",1,"Keypress","0785432569","Number8",13,0,"dualSteerFocus",2016-11-10 10:27:16.305,1478770036305,0.207,10,8044,11
"2016-11-10 10:27:17:572",1,"Correct","07854325698","190",13,0,"dualSteerFocus",2016-11-10 10:27:17.572,1478770037572,0.636,11,9311,12
"2016-11-10 10:27:22:134",1,"Start","","190",14,0,"dualSteerFocus",2016-11-10 10:27:22.134,1478770042134,-0.003,0,0,0
"2016-11-10 10:27:22:560",1,"Keypress","","Number0",14,0,"dualSteerFocus",2016-11-10 10:27:22.560,1478770042560,-0.003,0,426,1
"2016-11-10 10:27:23:082",1,"Keypress","0","Number7",14,0,"dualSteerFocus",2016-11-10 10:27:23.082,1478770043082,-0.003,1,948,2
"2016-11-10 10:27:23:529",1,"Keypress","07","Number8",14,0,"dualSteerFocus",2016-11-10 10:27:23.529,1478770043529,-0.003,2,1395,3
"2016-11-10 10:27:24:147",1,"Keypress","078","Number5",14,0,"dualSteerFocus",2016-11-10 10:27:24.147,1478770044147,-0.002,3,2013,4
"2016-11-10 10:27:24:564",1,"Keypress","0785","Number4",14,0,"dualSteerFocus",2016-11-10 10:27:24.564,1478770044564,-0.001,4,2430,5
"2016-11-10 10:27:25:149",1,"Keypress","07854","Number3",14,0,"dualSteerFocus",2016-11-10 10:27:25.149,1478770045149,0.001,5,3015,6
"2016-11-10 10:27:25:592",1,"Keypress","078543","Number2",14,0,"dualSteerFocus",2016-11-10 10:27:25.592,1478770045592,0.003,6,3458,7
"2016-11-10 10:27:26:237",1,"Keypress","0785432","Number5",14,0,"dualSteerFocus",2016-11-10 10:27:26.237,1478770046237,0.008,7,4103,8
"2016-11-10 10:27:26:880",1,"Keypress","07854325","Number6",14,0,"dualSteerFocus",2016-11-10 10:27:26.880,1478770046880,0.014,8,4746,9
"2016-11-10 10:27:27:808",1,"Keypress","078543256","Number9",14,0,"dualSteerFocus",2016-11-10 10:27:27.808,1478770047808,0.023,9,5674,10
"2016-11-10 10:27:28:690",1,"Keypress","0785432569","Number8",14,0,"dualSteerFocus",2016-11-10 10:27:28.690,1478770048690,0.031,10,6556,11
"2016-11-10 10:27:29:747",1,"Correct","07854325698","190",14,0,"dualSteerFocus",2016-11-10 10:27:29.747,1478770049747,0.04,11,7613,12
"2016-11-10 10:27:40:690",1,"Start","","190",15,0,"dualSteerFocus",2016-11-10 10:27:40.690,1478770060690,-0.046,0,0,0
"2016-11-10 10:27:41:128",1,"Keypress","","Number0",15,0,"dualSteerFocus",2016-11-10 10:27:41.128,1478770061128,-0.049,0,438,1
"2016-11-10 10:27:41:792",1,"Keypress","0","Number7",15,0,"dualSteerFocus",2016-11-10 10:27:41.792,1478770061792,-0.052,1,1102,2
"2016-11-10 10:27:42:237",1,"Keypress","07","Number8",15,0,"dualSteerFocus",2016-11-10 10:27:42.237,1478770062237,-0.055,2,1547,3
"2016-11-10 10:27:42:612",1,"Keypress","078","Number5",15,0,"dualSteerFocus",2016-11-10 10:27:42.612,1478770062612,-0.057,3,1922,4
